あ|あ|Ah|အာ|interjection
ああ|ああ|like that|အဲဒီလိုပဲ|adverb
あいさつ・する|あいさつ・する|to greet|နှုတ်ဆက်သည်|verb
間|あいだ|a space|နေရာ|noun
合う|あう|to match|ကိုက်ညီသည်|verb
あかちゃん|あかちゃん|infant|ကလေး|noun
上る|あがる|to rise|တက်သည်|verb
赤ん坊|あかんぼう|baby|ကလေး|noun
空く|あく|to open, to become empty|ဖွင့်သည်၊ဗလာဖြစ်သည်|verb
アクセサリー|アクセサリー|accessory|ဆက်စပ်ပစ္စည်း|noun
あげる|あげる|to give|ပေးသည်|verb
浅い|あさい|shallow,superficial|တိမ်မြုပ်သော၊မျက်နှာပြင်ဆန်သော|adjective
味|あじ|flavour|အရသာ|noun
アジア|アジア|Asia|အာရှ|noun
遊び|あそび|play|ကစားခြင်း|noun
集る|あつまる|to gather|စုရုံးသည်|verb
集める|あつめる|to collect something|စုဆောင်းသည်|verb
アナウンサー|アナウンサー|announcer|ကြေညာသူ|noun
アフリカ|アフリカ|Africa|အာဖရိက|noun
アメリカ|アメリカ|America|အမေရိက|noun
謝る|あやまる|to apologize|တောင်းပန်သည်|verb
アルコール|アルコール|alcohol|အရက်ဆေး|noun
アルバイト|アルバイト|part-time job|အချိန်ပိုင်းအလုပ်|noun
安心|あんしん|relief|စိတ်ချမှု|noun
安全|あんぜん|safety|လုံခြုံမှု|noun
あんな|あんな|such|ထိုကဲ့သို့|adjective
案内|あんない・する|to guide|လမ်းညွှန်သည်|verb
以下|いか|less than|ထက်နည်း|adverb
以外|いがい|with the exception of|မှတပါး|adverb
医学|いがく|medical science|ဆေးပညာ|noun
生きる|いきる|to live|နေထိုင်သည်|verb
意見|いけん|opinion|ထင်မြင်ချက်|noun
石|いし|stone|ကျောက်တုံး|noun
いじめる|いじめる|to tease|နှောင့်ယှက်သည်|verb
以上|いじょう|more than,this is all|ထက်ပို၊ဒါပဲ|adverb
急ぐ|いそぐ|to hurry|မြန်သည်|verb
致す|いたす|(humble) to do|(ရိုသေ)လုပ်သည်|verb
いただく|いただく|(humble) to receive|(ရိုသေ)ရရှိသည်|verb
一度|いちど|once|တစ်ခါ|adverb
一生懸命|いっしょうけんめい|with utmost effort|အစွမ်းကုန်အားထုတ်မှု|adverb
いっぱい|いっぱい|full|ပြည့်နှက်သော|adjective
糸|いと|thread|ချည်မျှင်|noun
以内|いない|within|အတွင်း|adverb
田舎|いなか|countryside|ကျေးလက်ဒေသ|noun
祈る|いのる|to pray|ဆုတောင်းသည်|verb
いらっしゃる|いらっしゃる|(respectful) to be,to come or to go|(လေးစား)ရှိသည်၊လာသည်သို့မဟုတ်သွားသည်|verb
